"AS16-M-0040","DATA/REVOLUTION_17/AS16-M-0040.lbl","AS16-M-0040.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0041","DATA/REVOLUTION_17/AS16-M-0041.lbl","AS16-M-0041.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0042","DATA/REVOLUTION_17/AS16-M-0042.lbl","AS16-M-0042.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0043","DATA/REVOLUTION_17/AS16-M-0043.lbl","AS16-M-0043.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0044","DATA/REVOLUTION_17/AS16-M-0044.lbl","AS16-M-0044.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0045","DATA/REVOLUTION_17/AS16-M-0045.lbl","AS16-M-0045.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0046","DATA/REVOLUTION_17/AS16-M-0046.lbl","AS16-M-0046.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0047","DATA/REVOLUTION_17/AS16-M-0047.lbl","AS16-M-0047.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0048","DATA/REVOLUTION_17/AS16-M-0048.lbl","AS16-M-0048.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0049","DATA/REVOLUTION_17/AS16-M-0049.lbl","AS16-M-0049.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0050","DATA/REVOLUTION_17/AS16-M-0050.lbl","AS16-M-0050.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0051","DATA/REVOLUTION_17/AS16-M-0051.lbl","AS16-M-0051.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0052","DATA/REVOLUTION_17/AS16-M-0052.lbl","AS16-M-0052.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0053","DATA/REVOLUTION_17/AS16-M-0053.lbl","AS16-M-0053.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0054","DATA/REVOLUTION_17/AS16-M-0054.lbl","AS16-M-0054.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0055","DATA/REVOLUTION_17/AS16-M-0055.lbl","AS16-M-0055.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0056","DATA/REVOLUTION_17/AS16-M-0056.lbl","AS16-M-0056.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0057","DATA/REVOLUTION_17/AS16-M-0057.lbl","AS16-M-0057.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0058","DATA/REVOLUTION_17/AS16-M-0058.lbl","AS16-M-0058.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0059","DATA/REVOLUTION_17/AS16-M-0059.lbl","AS16-M-0059.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
